sample_key	barcode	snp_vcf_path	snp_count	sv_vcf_path	sv_count
../../GREGoR_adaptive_sampling/28-30_Gregor_Trio|28-30_Gregor_Trio_barcode28	28	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode28.local.phased.vcf.gz	236234	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode28_global.germline.kanpig.genotyped.vcf.gz	2293
../../GREGoR_adaptive_sampling/28-30_Gregor_Trio|28-30_Gregor_Trio_barcode29	29	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode29.local.phased.vcf.gz	238472	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode29_global.germline.kanpig.genotyped.vcf.gz	2064
../../GREGoR_adaptive_sampling/28-30_Gregor_Trio|28-30_Gregor_Trio_barcode30	30	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode30.local.phased.vcf.gz	231463	../../GREGoR_adaptive_sampling/28-30_Gregor_Trio/28-30_Gregor_Trio_barcode30_global.germline.kanpig.genotyped.vcf.gz	1954
../../GREGoR_adaptive_sampling/31-33_Gregor_Trio|31-33_Gregor_Trio_barcode31	31	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode31.local.phased.vcf.gz	241583	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode31_global.germline.kanpig.genotyped.vcf.gz	2495
../../GREGoR_adaptive_sampling/31-33_Gregor_Trio|31-33_Gregor_Trio_barcode32	32	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode32.local.phased.vcf.gz	249066	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode32_global.germline.kanpig.genotyped.vcf.gz	2193
../../GREGoR_adaptive_sampling/31-33_Gregor_Trio|31-33_Gregor_Trio_barcode33	33	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode33.local.phased.vcf.gz	239503	../../GREGoR_adaptive_sampling/31-33_Gregor_Trio/31-33_Gregor_Trio_barcode33_global.germline.kanpig.genotyped.vcf.gz	2227
../../GREGoR_adaptive_sampling/34-36_Gregor_Trio|34-36_Gregor_Trio_barcode34	34	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode34.local.phased.vcf.gz	233167	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode34_global.germline.kanpig.genotyped.vcf.gz	2127
../../GREGoR_adaptive_sampling/34-36_Gregor_Trio|34-36_Gregor_Trio_barcode35	35	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode35.local.phased.vcf.gz	236173	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode35_global.germline.kanpig.genotyped.vcf.gz	2280
../../GREGoR_adaptive_sampling/34-36_Gregor_Trio|34-36_Gregor_Trio_barcode36	36	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode36.local.phased.vcf.gz	235821	../../GREGoR_adaptive_sampling/34-36_Gregor_Trio/34-36_Gregor_Trio_barcode36_global.germline.kanpig.genotyped.vcf.gz	2187
../../GREGoR_adaptive_sampling/37-39_Gregor_Trio|37-39_Gregor_Trio_barcode37	37	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode37.local.phased.vcf.gz	237748	../../GREGoR_adaptive_sampling/37-39_Gregor_Trio/37-39_Gregor_Trio_barcode37_global.germline.kanpig.genotyped.vcf.gz	2480
